26,"t","Mushrooms: Released August 26, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
26,"t","Agaricus Mushroom Sales, Dollar Volume per Square Foot of Growing Area, Price, and Value – States and United States: 2019-2020, 2020-2021, and 2021-2022"
26,"h","","","","","","","","","","","","",""
26,"h","","Volume","Volume","Volume","Dollar volume","Dollar volume","Dollar volume","Price","Price","Price","Value","Value","Value"
26,"h","State","of","of","of","per","per","per","per","per","per","of","of","of"
26,"h","","sales","sales","sales","square foot","square foot","square foot","pound 1/","pound 1/","pound 1/","sales","sales","sales"
26,"h","","","","","","","","","","","","",""
26,"h","","2019-","2020-","2021-","2019-","2020-","2021-","2019-","2020-","2021-","2019-","2020-","2021-"
26,"h","","2020","2021","2022","2020","2021","2022","2020","2021","2022","2020","2021","2022"
26,"h","","","","","","","","","","","","",""
26,"u","","(1,000 pounds)","(1,000 pounds)","(1,000 pounds)","(dollar)","(dollar)","(dollar)","(dollar)","(dollar)","(dollar)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
26,"d","California",112457,99245,73780,9.67,8.91,11.08,2.20,2.19,2.35,247760,217145,173143
26,"d","Pennsylvania",526336,475200,446586,7.16,6.57,6.14,1.04,1.01,1.03,548077,481484,459389
26,"d","",,,,,,,,,,,,
26,"d","Other States 2/",157569,162968,159522,8.82,8.98,11.16,1.84,1.84,1.87,290013,299107,298398
26,"d","",,,,,,,,,,,,
26,"d","United States",796362,737413,679888,8.04,7.62,7.95,1.36,1.35,1.37,1085850,997736,930930
26,"c",""
26,"f","1/ Prices for mushrooms are the average prices producers receive at the point of first sale, commonly referred to as the average price as sold. For example, if in a given State, part of the fresh mushrooms are sold F.O.B. packed by growers, part are sold bulk to brokers or repackers, and some are sold retail at roadside stands, the mushroom average price as sold is a weighted average of the average price for each method of sale."
26,"f","2/ Other States include Florida, Illinois, Maryland, Oklahoma, Tennessee, and Texas."
