27,"t","Mushrooms: Released August 26, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
27,"t","Agaricus Mushroom Fresh Market Sales, Price, and Value – States and United States: 2019-2020, 2020-2021, and 2021-2022"
27,"h","","","","","","","","","",""
27,"h","","Volume","Volume","Volume","Price","Price","Price","Value","Value","Value"
27,"h","State","of","of","of","per","per","per","of","of","of"
27,"h","","sales","sales","sales","pound 1/","pound 1/","pound 1/","sales","sales","sales"
27,"h","","","","","","","","","",""
27,"h","","2019-","2020-","2021-","2019-","2020-","2021-","2019-","2020-","2021-"
27,"h","","2020","2021","2022","2020","2021","2022","2020","2021","2022"
27,"h","","","","","","","","","",""
27,"u","","(1,000 pounds)","(1,000 pounds)","(1,000 pounds)","(dollars)","(dollars)","(dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
27,"d","Pennsylvania",477025,414436,387884,1.08,1.07,1.09,514973,443119,420922
27,"d","",,,,,,,,,
27,"d","Other States 2/",263769,256304,227976,2.01,1.99,2.04,530884,509402,464847
27,"d","",,,,,,,,,
27,"d","United States",740794,670740,615860,1.41,1.42,1.44,1045857,952521,885769
27,"c",""
27,"f","1/ Prices for mushrooms are the average prices producers receive at the point of first sale, commonly referred to as the average price as sold. For example, if in a given State, part of the fresh mushrooms are sold F.O.B. packed by growers, part are sold bulk to brokers or repackers, and some are sold retail at roadside stands, the mushroom average price as sold is a weighted average of the average price for each method of sale."
27,"f","2/ Other States includes California, Florida, Illinois, Maryland, Oklahoma, Tennessee, and Texas."
