25,"t","Mushrooms: Released August 26, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
25,"t","Agaricus Mushroom Area in Production and Yield – States and United States: 2019-2020, 2020-2021, and 2021-2022"
25,"h","","","","","","","","","",""
25,"h","","Area in production","Area in production","Area in production","Area in production","Area in production","Area in production","","",""
25,"h","","","","","","","","","",""
25,"h","State","Growing","Growing","Growing","Total","Total","Total","Yield per","Yield per","Yield per"
25,"h","","area","area","area","filings","filings","filings","square foot","square foot","square foot"
25,"h","","","","","","","","","",""
25,"h","","2019-2020","2020-2021","2021-2022","2019-2020","2020-2021","2021-2022","2019-2020","2020-2021","2021-2022"
25,"h","","","","","","","","","",""
25,"u","","(1,000 square feet)","(1,000 square feet)","(1,000 square feet)","(1,000 square feet)","(1,000 square feet)","(1,000 square feet)","(pounds)","(pounds)","(pounds)"
25,"d","California",2616,2589,1663,25617,24382,15626,4.39,4.07,4.72
25,"d","Pennsylvania",14830,16304,15254,76581,73266,74770,6.87,6.49,5.97
25,"d","",,,,,,,,,
25,"d","Other States 1/",4440,4360,3845,32886,33314,26749,4.79,4.89,5.96
25,"d","",,,,,,,,,
25,"d","United States",21886,23253,20762,135084,130962,117145,5.90,5.63,5.80
25,"c",""
25,"f","1/ Other States include Florida, Illinois, Maryland, Oklahoma, Tennessee, and Texas."
